municipio,regiao,ano,tipo_crime,quantidade,fonte
Adrianópolis,RGI de Curitiba,2020,Crimes de Estupro,4.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2021,Crimes de Estupro,4.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2022,Crimes de Estupro,7.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2023,Crimes de Estupro,4.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2024,Crimes de Estupro,10.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2018,Crimes de Furto,31.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2019,Crimes de Furto,24.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2020,Crimes de Furto,22.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2021,Crimes de Furto,31.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2022,Crimes de Furto,29.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2023,Crimes de Furto,15.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2024,Crimes de Furto,24.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2018,Crimes de Lesão Corporal,32.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2019,Crimes de Lesão Corporal,19.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2020,Crimes de Lesão Corporal,22.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2021,Crimes de Lesão Corporal,22.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2022,Crimes de Lesão Corporal,37.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2023,Crimes de Lesão Corporal,23.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2024,Crimes de Lesão Corporal,46.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2018,Crimes de Roubo,2.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2019,Crimes de Roubo,3.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2020,Crimes de Roubo,2.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2018,Furtos de Veículos,2.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2021,Furtos de Veículos,2.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2024,Furtos de Veículos,3.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2018,Ocorrências Envolvendo Tráfico de Drogas,1.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2022,Ocorrências Envolvendo Tráfico de Drogas,2.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2024,Ocorrências Envolvendo Tráfico de Drogas,1.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2018,Ocorrências Envolvendo Uso/Consumo de Drogas,3.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2019,Ocorrências Envolvendo Uso/Consumo de Drogas,5.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2020,Ocorrências Envolvendo Uso/Consumo de Drogas,6.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2024,Ocorrências Envolvendo Uso/Consumo de Drogas,2.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2018,Perturbação do Sossego/Tranquilidade,3.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2019,Perturbação do Sossego/Tranquilidade,1.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2020,Perturbação do Sossego/Tranquilidade,3.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2021,Perturbação do Sossego/Tranquilidade,4.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2022,Perturbação do Sossego/Tranquilidade,4.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2023,Perturbação do Sossego/Tranquilidade,2.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2024,Perturbação do Sossego/Tranquilidade,4.0,Crimes gerais
Adrianópolis,RGI de Curitiba,2020,Roubos de Veículos,1.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2018,Armas de Fogo Apreendidas,8.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2019,Armas de Fogo Apreendidas,2.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2020,Armas de Fogo Apreendidas,4.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2021,Armas de Fogo Apreendidas,5.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2022,Armas de Fogo Apreendidas,1.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2023,Armas de Fogo Apreendidas,5.0,Crimes gerais
Agudos do Sul,RGI de Curitiba,2018,Crimes de Ameaça,105.0,Crimes gerais
